,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.2125,0.607142857,0.314814815,0.601648352,0.597826087,1.986940145,0.566666667,5
1,10,25,365,0.191780822,0.5,0.277227723,0.560897436,0.60326087,1.882701795,0.470892626,5
2,10,25,730,0.145833333,0.5,0.225806452,0.487179487,0.47826087,1.440682196,0.457286432,5
3,10,50,180,0.189189189,0.5,0.274509804,0.557692308,0.597826087,1.474972867,0.470284238,5
4,10,50,365,0.163934426,0.357142857,0.224719101,0.51510989,0.625,1.464099309,0.341655716,5
5,10,50,730,0.181818182,0.714285714,0.289855072,0.568681319,0.467391304,1.913903603,0.641975309,5
6,10,100,180,0.234042553,0.785714286,0.360655738,0.662087912,0.576086957,3.028911999,0.720403023,5
7,10,100,365,0.223880597,0.535714286,0.315789474,0.601190476,0.64673913,1.720480739,0.508474576,5
8,10,100,730,0.142857143,0.535714286,0.22556391,0.479395604,0.440217391,1.670320684,0.48447205,5
9,10,150,180,0.178571429,0.535714286,0.267857143,0.546703297,0.554347826,2.031250219,0.49744898,5
10,10,150,365,0.154929577,0.392857143,0.222222222,0.504120879,0.581521739,1.579813076,0.370946822,5
11,10,150,730,0.155172414,0.642857143,0.25,0.507326007,0.413043478,1.88237043,0.573529412,5
