,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.188118812,0.678571429,0.294573643,0.576465201,0.505434783,2.342851874,0.616729089,5
1,10,25,365,0.134831461,0.428571429,0.205128205,0.467490842,0.494565217,1.519139187,0.395437262,5
2,10,25,730,0.101694915,0.214285714,0.137931034,0.437271062,0.592391304,1.454016169,0.205533597,5
3,10,50,180,0.184466019,0.678571429,0.290076336,0.570054945,0.494565217,2.600199682,0.615193026,5
4,10,50,365,0.172413793,0.535714286,0.260869565,0.537087912,0.538043478,1.523946731,0.495552732,5
5,10,50,730,0.097222222,0.25,0.14,0.416666667,0.532608696,1.455525939,0.235751295,5
6,10,100,180,0.175824176,0.571428571,0.268907563,0.54532967,0.527173913,1.928673048,0.525916561,5
7,10,100,365,0.228915663,0.678571429,0.342342342,0.634157509,0.60326087,2.548808183,0.630906769,5
8,10,100,730,0.180722892,0.535714286,0.27027027,0.549908425,0.559782609,1.94321992,0.498084291,5
9,10,150,180,0.211111111,0.678571429,0.322033898,0.611721612,0.565217391,2.475965516,0.625316456,5
10,10,150,365,0.227272727,0.535714286,0.319148936,0.604395604,0.652173913,2.302639917,0.509138381,5
11,10,150,730,0.111111111,0.357142857,0.169491525,0.422161172,0.467391304,1.421377075,0.329113924,5
