,n_neighbors,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,180,0.168421053,0.571428571,0.260162602,0.532509158,0.505434783,1.49958795,0.52327044,5
1,10,365,0.145833333,0.5,0.225806452,0.487179487,0.47826087,1.493440269,0.457286432,5
2,10,730,0.155963303,0.607142857,0.248175182,0.508699634,0.440217391,1.320789982,0.546353523,5
3,20,180,0.190082645,0.821428571,0.308724832,0.596611722,0.440217391,2.663034133,0.728380024,5
4,20,365,0.138888889,0.535714286,0.220588235,0.46978022,0.423913043,1.302359233,0.482673267,5
5,20,730,0.178294574,0.821428571,0.292993631,0.570970696,0.39673913,2.205955233,0.721351025,5
6,50,180,0.194029851,0.928571429,0.320987654,0.618131868,0.402173913,3.069484796,0.810551559,5
7,50,365,0.173228346,0.785714286,0.283870968,0.556318681,0.39673913,2.301536359,0.69165659,5
8,50,730,0.166666667,0.892857143,0.280898876,0.545787546,0.304347826,2.781371568,0.764705882,5
9,100,180,0.169117647,0.821428571,0.280487805,0.548534799,0.358695652,2.836823751,0.715311005,5
10,100,365,0.161538462,0.75,0.265822785,0.525641026,0.369565217,2.368781541,0.657831325,5
11,100,730,0.151898734,0.857142857,0.258064516,0.499084249,0.25,2.479059794,0.727272727,5
12,200,180,0.195121951,0.857142857,0.317880795,0.611263736,0.440217391,2.895285039,0.758201701,5
13,200,365,0.138211382,0.607142857,0.225165563,0.463827839,0.364130435,2.400669008,0.537059538,5
14,200,730,0.152941176,0.928571429,0.262626263,0.502747253,0.206521739,2.822238195,0.777011494,5
