,parameter,PCA,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,l2,2,180,0.226190476,0.678571429,0.339285714,0.630952381,0.597826087,2.429449099,0.630102041,5
1,l2,2,365,0.171052632,0.464285714,0.25,0.53021978,0.576086957,1.64271929,0.43556701,5
2,l2,2,730,0.17,0.607142857,0.265625,0.537545788,0.489130435,1.534193547,0.5525,5
3,l2,5,180,0.253164557,0.714285714,0.373831776,0.668040293,0.635869565,2.396257444,0.667522465,5
4,l2,5,365,0.212765957,0.357142857,0.266666667,0.559981685,0.701086957,1.388687363,0.348058902,5
5,l2,5,730,0.17699115,0.714285714,0.283687943,0.559065934,0.451086957,1.871686612,0.639606396,5
6,l2,10,180,0.257575758,0.607142857,0.361702128,0.646520147,0.673913043,2.225042497,0.577023499,5
7,l2,10,365,0.204081633,0.357142857,0.25974026,0.553571429,0.690217391,1.504165364,0.347129506,5
8,l2,10,730,0.166666667,0.607142857,0.261538462,0.531135531,0.47826087,1.506996716,0.551122195,5
9,l2,20,180,0.261538462,0.607142857,0.365591398,0.649725275,0.679347826,1.931591726,0.577777778,5
10,l2,20,365,0.227272727,0.357142857,0.277777778,0.56959707,0.717391304,1.473261621,0.349462366,5
11,l2,20,730,0.178947368,0.607142857,0.276422764,0.553571429,0.516304348,1.690619439,0.555974843,5
12,l2,30,180,0.25,0.571428571,0.347826087,0.631868132,0.673913043,1.879710647,0.544502618,5
13,l2,30,365,0.162790698,0.25,0.197183099,0.509615385,0.690217391,1.192134373,0.244952894,5
14,l2,30,730,0.189473684,0.642857143,0.292682927,0.5746337,0.527173913,1.681472299,0.588679245,5
