,parameter,PCA,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,l2,2,180,0.229885057,0.714285714,0.347826087,0.642399267,0.592391304,2.419081561,0.660736976,5
1,l2,2,365,0.157894737,0.214285714,0.181818182,0.504578755,0.706521739,1.173420132,0.211382114,5
2,l2,2,730,0.176470588,0.107142857,0.133333333,0.508699634,0.788043478,1.099814131,0.108786611,5
3,l2,5,180,0.217391304,0.714285714,0.333333333,0.626373626,0.565217391,2.356860844,0.656565657,5
4,l2,5,365,0.107142857,0.107142857,0.107142857,0.473443223,0.72826087,1.041650085,0.107142857,5
5,l2,5,730,0.2,0.071428571,0.105263158,0.51007326,0.815217391,1.112619109,0.073239437,5
6,l2,10,180,0.217391304,0.714285714,0.333333333,0.626373626,0.565217391,2.420023586,0.656565657,5
7,l2,10,365,0.133333333,0.142857143,0.137931034,0.488095238,0.72826087,1.00630983,0.142465753,5
8,l2,10,730,0.153846154,0.071428571,0.097560976,0.500457875,0.798913043,1.027141842,0.072931276,5
9,l2,20,180,0.224719101,0.714285714,0.341880342,0.635989011,0.581521739,2.420412722,0.659062104,5
10,l2,20,365,0.137931034,0.142857143,0.140350877,0.491300366,0.733695652,1.107868878,0.14266118,5
11,l2,20,730,0.153846154,0.071428571,0.097560976,0.500457875,0.798913043,1.027141842,0.072931276,5
