,n_estimators,max_depth,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,10,180,0,0,0,0.46474359,0.788043478,0.940312017,#DIV/0!,5
1,10,10,365,0.058823529,0.035714286,0.044444444,0.466575092,0.766304348,1.088101545,0.036262204,5
2,10,10,730,0.125,0.142857143,0.133333333,0.481684982,0.717391304,1.175024675,0.142076503,5
3,10,20,180,0.181818182,0.071428571,0.102564103,0.506868132,0.809782609,1.10799104,0.073136428,5
4,10,20,365,0.235294118,0.142857143,0.177777778,0.529761905,0.798913043,1.03625487,0.145048815,5
5,10,20,730,0.181818182,0.071428571,0.102564103,0.506868132,0.809782609,1.14384137,0.073136428,5
6,20,10,180,0.1,0.035714286,0.052631579,0.489010989,0.804347826,0.998847935,0.036619718,5
7,20,10,365,0.1875,0.107142857,0.136363636,0.511904762,0.793478261,1.214063517,0.108938547,5
8,20,10,730,0.086956522,0.071428571,0.078431373,0.468406593,0.744565217,1.102415927,0.071922545,5
9,20,20,180,0,0,0,0.477564103,0.809782609,0.958451894,#DIV/0!,5
10,20,20,365,0.083333333,0.035714286,0.05,0.482600733,0.793478261,1.04802855,0.036516854,5
11,20,20,730,0.071428571,0.035714286,0.047619048,0.476190476,0.782608696,0.952288143,0.036414566,5
12,50,10,180,0.1,0.035714286,0.052631579,0.489010989,0.804347826,0.990448085,0.036619718,5
13,50,10,365,0.2,0.071428571,0.105263158,0.51007326,0.815217391,1.091764701,0.073239437,5
14,50,10,730,0.05,0.035714286,0.041666667,0.456959707,0.75,1.002724585,0.036111111,5
15,50,20,180,0,0,0,0.483974359,0.820652174,0.985044131,#DIV/0!,5
16,50,20,365,0.1,0.035714286,0.052631579,0.489010989,0.804347826,0.999899028,0.036619718,5
17,50,20,730,0.083333333,0.035714286,0.05,0.482600733,0.793478261,1.058945276,0.036516854,5
18,100,10,180,0,0,0,0.477564103,0.809782609,0.914767391,#DIV/0!,5
19,100,10,365,0.1,0.035714286,0.052631579,0.489010989,0.804347826,1.028486814,0.036619718,5
20,100,10,730,0.111111111,0.071428571,0.086956522,0.484432234,0.77173913,1.097532398,0.072423398,5
21,100,20,180,0.1,0.035714286,0.052631579,0.489010989,0.804347826,0.984019113,0.036619718,5
22,100,20,365,0,0,0,0.474358974,0.804347826,0.945711784,#DIV/0!,5
23,100,20,730,0,0,0,0.471153846,0.798913043,0.952076194,#DIV/0!,5
