,n_estimators,max_depth,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,10,180,0.216216216,0.571428571,0.31372549,0.59981685,0.619565217,1.875612621,0.5374677,5
1,10,10,365,0.233766234,0.642857143,0.342857143,0.632326007,0.625,2.006949681,0.602316602,5
2,10,10,730,0.210526316,0.571428571,0.307692308,0.593406593,0.608695652,2.246368505,0.536082474,5
3,10,20,180,0.216216216,0.571428571,0.31372549,0.59981685,0.619565217,1.875612621,0.5374677,5
4,10,20,365,0.233766234,0.642857143,0.342857143,0.632326007,0.625,2.006949681,0.602316602,5
5,10,20,730,0.220588235,0.535714286,0.3125,0.597985348,0.641304348,1.768627936,0.5078125,5
6,20,10,180,0.228915663,0.678571429,0.342342342,0.634157509,0.60326087,2.073874337,0.630906769,5
7,20,10,365,0.197530864,0.571428571,0.293577982,0.577380952,0.581521739,1.769932544,0.532650448,5
8,20,10,730,0.205128205,0.571428571,0.301886792,0.586996337,0.597826087,1.861102204,0.53470437,5
9,20,20,180,0.228915663,0.678571429,0.342342342,0.634157509,0.60326087,2.073874337,0.630906769,5
10,20,20,365,0.197530864,0.571428571,0.293577982,0.577380952,0.581521739,1.769932544,0.532650448,5
11,20,20,730,0.202531646,0.571428571,0.299065421,0.583791209,0.592391304,1.923790044,0.534017972,5
12,50,10,180,0.21978022,0.714285714,0.336134454,0.629578755,0.570652174,2.147728392,0.657395702,5
13,50,10,365,0.2,0.535714286,0.291262136,0.575549451,0.60326087,1.588650947,0.503225806,5
14,50,10,730,0.215189873,0.607142857,0.317757009,0.60485348,0.60326087,1.888566314,0.567394095,5
15,50,20,180,0.21978022,0.714285714,0.336134454,0.629578755,0.570652174,2.147728392,0.657395702,5
16,50,20,365,0.2,0.535714286,0.291262136,0.575549451,0.60326087,1.588650947,0.503225806,5
17,50,20,730,0.216216216,0.571428571,0.31372549,0.59981685,0.619565217,1.946839263,0.5374677,5
18,100,10,180,0.212765957,0.714285714,0.327868852,0.61996337,0.554347826,2.209701658,0.654911839,5
19,100,10,365,0.192307692,0.535714286,0.283018868,0.565934066,0.586956522,1.613705433,0.501285347,5
20,100,10,730,0.202702703,0.535714286,0.294117647,0.578754579,0.608695652,1.727599621,0.503875969,5
21,100,20,180,0.212765957,0.714285714,0.327868852,0.61996337,0.554347826,2.209701658,0.654911839,5
22,100,20,365,0.192307692,0.535714286,0.283018868,0.565934066,0.586956522,1.613705433,0.501285347,5
23,100,20,730,0.2,0.535714286,0.291262136,0.575549451,0.60326087,1.737009239,0.503225806,5
